"sep=	"
Shimmer_1875_TimestampSync_Unix_CAL	Shimmer_1875_GSR_Range_CAL	Shimmer_1875_GSR_Skin_Conductance_CAL	Shimmer_1875_GSR_Skin_Resistance_CAL	
ms	no_units	uS	kOhms	
1.7442877626837803E12	3.0	0.9010989010989011	1109.7560975609756	
1.7442877626876863E12	3.0	0.9010989010989011	1109.7560975609756	
1.7442877626915925E12	3.0	0.9010989010989011	1109.7560975609756	
1.7442877626954988E12	3.0	0.9010989010989011	1109.7560975609756	
1.744287762699405E12	3.0	0.9010989010989011	1109.7560975609756	
1.744287762703311E12	3.0	0.9010989010989011	1109.7560975609756	
1.7442877627072173E12	3.0	0.9006549006549007	1110.3031796894256	
1.7442877627111235E12	3.0	0.9006549006549007	1110.3031796894256	
1.7442877627150298E12	3.0	0.9006549006549007	1110.3031796894256	
1.7442877627189358E12	3.0	0.8997668997668998	1111.39896373057	
1.744287762722842E12	3.0	0.9002109002109001	1110.8508014796548	
1.7442877627267483E12	3.0	0.9002109002109001	1110.8508014796548	
1.7442877627306545E12	3.0	0.9006549006549007	1110.3031796894256	
1.7442877627345605E12	3.0	0.9002109002109001	1110.8508014796548	
1.7442877627384668E12	3.0	0.8997668997668998	1111.39896373057	
1.744287762742373E12	3.0	0.9002109002109001	1110.8508014796548	
1.7442877627462793E12	3.0	0.8997668997668998	1111.39896373057	
1.7442877627501853E12	3.0	0.9002109002109001	1110.8508014796548	
1.7442877627540916E12	3.0	0.8997668997668998	1111.39896373057	
1.7442877627579978E12	3.0	0.8993228993228994	1111.947667242656	
1.744287762761904E12	3.0	0.8997668997668998	1111.39896373057	
1.74428776276581E12	3.0	0.8997668997668998	1111.39896373057	
1.7442877627697163E12	3.0	0.8993228993228994	1111.947667242656	
1.7442877627736226E12	3.0	0.8997668997668998	1111.39896373057	
1.7442877627775288E12	3.0	0.8993228993228994	1111.947667242656	
1.7442877627814348E12	3.0	0.9002109002109001	1110.8508014796548	
1.744287762785341E12	3.0	0.898878898878899	1112.4969128179796	
1.7442877627892473E12	3.0	0.898878898878899	1112.4969128179796	
1.7442877627931536E12	3.0	0.8993228993228994	1111.947667242656	
1.7442877627970596E12	3.0	0.8993228993228994	1111.947667242656	
